"Node.1" "Node.2" "CN"
"ENSG00000260236" "ENSG00000188419" -0.53
"ENSG00000138078" "ENSG00000103591" 0.54
"ENSG00000186106" "ENSG00000148572" 0.54
"ENSG00000069345" "ENSG00000141378" 0.55
"ENSG00000258903" "ENSG00000141030" 0.53
"ENSG00000178662" "ENSG00000147036" 0.54
"ENSG00000152580" "ENSG00000133302" 0.52
"ENSG00000258302" "ENSG00000101558" 0.52
"ENSG00000013392" "ENSG00000009844" 0.52
"ENSG00000143158" "ENSG00000089159" -0.52
"ENSG00000067992" "ENSG00000285830" 0.54
"ENSG00000156136" "ENSG00000166153" 0.51
"ENSG00000133703" "ENSG00000166153" 0.53
"ENSG00000143158" "ENSG00000131100" 0.54
"ENSG00000113558" "ENSG00000131966" 0.52
"ENSG00000155858" "ENSG00000050748" 0.54
"ENSG00000166479" "ENSG00000088881" -0.54
"ENSG00000164100" "ENSG00000148925" 0.53
"ENSG00000113638" "ENSG00000167930" -0.52
"ENSG00000198961" "ENSG00000270049" -0.51
"ENSG00000198836" "ENSG00000120251" 0.54
"ENSG00000138430" "ENSG00000138138" 0.54
"ENSG00000139131" "ENSG00000196214" -0.52
"ENSG00000134709" "ENSG00000076928" -0.54
"ENSG00000196950" "ENSG00000257434" 0.54
"ENSG00000277159" "ENSG00000091164" 0.52
"ENSG00000182220" "ENSG00000228302" 0.53
"ENSG00000111726" "ENSG00000134440" 0.54
"ENSG00000152078" "ENSG00000133703" 0.51
"ENSG00000250349" "ENSG00000105552" -0.53
"ENSG00000133059" "ENSG00000113575" 0.52
"ENSG00000138686" "ENSG00000126947" 0.52
"ENSG00000174173" "ENSG00000131100" 0.52
"ENSG00000148925" "ENSG00000133997" 0.53
"ENSG00000085365" "ENSG00000100614" 0.55
"ENSG00000237919" "ENSG00000104381" 0.51
"ENSG00000068366" "ENSG00000102781" 0.53
