Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000163719	ENSG00000101654	g	g.AD	-0.52
ENSG00000008869	ENSG00000101654	a	a	0.53
ENSG00000152749	ENSG00000101654	a	a	0.53
ENSG00000085365	ENSG00000102078	g	g.AD	0.53
ENSG00000087470	ENSG00000102078	g	g.AD	0.53
ENSG00000164031	ENSG00000102078	g	g.AD	0.53
ENSG00000165832	ENSG00000102078	g	g.AD	0.53
ENSG00000152932	ENSG00000102078	g	g.AD	0.53
ENSG00000156642	ENSG00000102078	g	g.AD	0.55
ENSG00000102471	ENSG00000118432	g	g.AD	0.52
ENSG00000083720	ENSG00000118432	g	g.AD	0.53
ENSG00000152932	ENSG00000118432	g	g.AD	0.52
ENSG00000106299	ENSG00000118432	g	g.AD	0.52
ENSG00000133703	ENSG00000118432	g	g.AD	0.52
ENSG00000221823	ENSG00000118432	g	g.AD	0.53
ENSG00000163412	ENSG00000118432	g	g.AD	0.52
ENSG00000074964	ENSG00000196776	g	g.AD	-0.53
ENSG00000106524	ENSG00000196776	g	g.AD	0.53
ENSG00000005249	ENSG00000196776	g	g.AD	0.54
ENSG00000149313	ENSG00000196776	g	g.AD	0.55
ENSG00000174132	ENSG00000196776	g	g.AD	0.53
ENSG00000004897	ENSG00000196776	g	g.AD	0.55
ENSG00000109738	ENSG00000196776	a	a	0.53
ENSG00000108839	ENSG00000196776	g	g.AD	-0.53
ENSG00000163376	ENSG00000196776	g	g.AD	0.54
ENSG00000103150	ENSG00000196776	g	g.AD	-0.51
ENSG00000113161	ENSG00000196776	g	g.AD	0.54
ENSG00000124440	ENSG00000196776	g	g.AD	-0.54
ENSG00000133703	ENSG00000196776	a	a	0.54
ENSG00000075790	ENSG00000163541	g	g.AD	0.53
ENSG00000133703	ENSG00000163541	g	g.AD	0.53
ENSG00000123119	ENSG00000163541	g	g.AD	0.54
ENSG00000101654	ENSG00000163541	g	g.AD	0.53
ENSG00000196776	ENSG00000163541	g	g.AD	0.54
ENSG00000075790	ENSG00000178127	g	g.AD	0.53
ENSG00000087470	ENSG00000178127	g	g.AD	0.54
ENSG00000174132	ENSG00000178127	g	g.AD	0.51
ENSG00000165832	ENSG00000178127	g	g.AD	0.53
ENSG00000108839	ENSG00000178127	g	g.AD	-0.52
ENSG00000106299	ENSG00000178127	g	g.AD	0.53
ENSG00000205981	ENSG00000178127	g	g.AD	0.52
ENSG00000075790	ENSG00000100934	g	g.AD	0.54
ENSG00000110675	ENSG00000100934	g	g.AD	0.53
ENSG00000085365	ENSG00000100934	g	g.AD	0.56
ENSG00000014824	ENSG00000100934	a	a	0.55
ENSG00000164031	ENSG00000100934	g	g.AD	0.55
ENSG00000083720	ENSG00000100934	g	g.AD	0.54
ENSG00000106479	ENSG00000100934	g	g.AD	-0.53
ENSG00000109738	ENSG00000100934	g	g.AD	0.53
ENSG00000104643	ENSG00000100934	g	g.AD	0.56
ENSG00000166006	ENSG00000100934	g	g.AD	0.52
ENSG00000133703	ENSG00000100934	g	g.AD	0.55
ENSG00000008869	ENSG00000100934	a	a	0.54
ENSG00000132640	ENSG00000100934	g	g.AD	0.53
ENSG00000163412	ENSG00000100934	g	g.AD	0.53
ENSG00000101654	ENSG00000100934	a	a	0.55
ENSG00000196776	ENSG00000100934	g	g.AD	0.54
ENSG00000152932	ENSG00000237990	g	g.AD	0.53
ENSG00000145864	ENSG00000237990	g	g.AD	0.54
ENSG00000156642	ENSG00000237990	g	g.AD	0.54
ENSG00000075790	ENSG00000099338	g	g.AD	-0.54
ENSG00000085365	ENSG00000099338	g	g.AD	-0.54
ENSG00000136531	ENSG00000099338	a	a	-0.54
ENSG00000083720	ENSG00000099338	g	g.AD	-0.54
ENSG00000145864	ENSG00000099338	g	g.AD	-0.53
ENSG00000106299	ENSG00000099338	g	g.AD	-0.54
ENSG00000156642	ENSG00000099338	g	g.AD	-0.54
ENSG00000123119	ENSG00000099338	g	g.AD	-0.53
ENSG00000100934	ENSG00000099338	g	g.AD	-0.53
ENSG00000178662	ENSG00000124357	g	g.AD	-0.52
ENSG00000102471	ENSG00000109436	g	g.AD	0.52
ENSG00000085365	ENSG00000109436	g	g.AD	0.54
ENSG00000087470	ENSG00000109436	a	a	0.54
ENSG00000014824	ENSG00000109436	g	g.AD	0.53
ENSG00000165832	ENSG00000109436	g	g.AD	0.53
ENSG00000163376	ENSG00000109436	g	g.AD	0.53
ENSG00000133703	ENSG00000109436	g	g.AD	0.54
ENSG00000114686	ENSG00000109436	a	a	0.53
ENSG00000113966	ENSG00000109436	a	a	0.54
ENSG00000196776	ENSG00000109436	g	g.AD	0.53
ENSG00000075790	ENSG00000236383	g	g.AD	-0.52
ENSG00000085365	ENSG00000236383	g	g.AD	-0.53
ENSG00000083720	ENSG00000236383	g	g.AD	-0.53
ENSG00000133703	ENSG00000236383	g	g.AD	-0.53
ENSG00000102471	ENSG00000144635	a	a	0.55
ENSG00000106524	ENSG00000144635	g	g.AD	0.53
ENSG00000014824	ENSG00000144635	a	a	0.54
ENSG00000149313	ENSG00000144635	g	g.AD	0.55
ENSG00000108590	ENSG00000144635	g	g.AD	0.54
ENSG00000165832	ENSG00000144635	g	g.AD	0.55
ENSG00000004897	ENSG00000144635	g	g.AD	0.55
ENSG00000185875	ENSG00000144635	g	g.AD	0.53
ENSG00000109738	ENSG00000144635	g	g.AD	0.55
ENSG00000173821	ENSG00000144635	g	g.AD	-0.53
ENSG00000108839	ENSG00000144635	g	g.AD	-0.54
ENSG00000163376	ENSG00000144635	g	g.AD	0.55
ENSG00000145864	ENSG00000144635	g	g.AD	0.55
ENSG00000260412	ENSG00000144635	g	g.AD	0.53
