"Node.1" "Node.2" "CN"
"ENSG00000114686" "ENSG00000100614" 0.54
"ENSG00000061273" "ENSG00000101654" -0.52
"ENSG00000198780" "ENSG00000120137" 0.54
"ENSG00000025156" "ENSG00000261369" 0.53
"ENSG00000163818" "ENSG00000198924" 0.53
"ENSG00000168159" "ENSG00000231937" 0.52
"ENSG00000107105" "ENSG00000104774" -0.53
"ENSG00000112290" "ENSG00000160410" -0.53
"ENSG00000072133" "ENSG00000166484" -0.53
"ENSG00000088888" "ENSG00000231993" 0.55
"ENSG00000004487" "ENSG00000087301" 0.51
"ENSG00000047932" "ENSG00000257950" -0.52
"ENSG00000122873" "ENSG00000258302" 0.53
"ENSG00000163444" "ENSG00000237481" 0.51
"ENSG00000110429" "ENSG00000101557" 0.53
"ENSG00000113966" "ENSG00000110768" 0.53
"ENSG00000224223" "ENSG00000072041" 0.51
"ENSG00000106443" "ENSG00000267058" 0.52
"ENSG00000134709" "ENSG00000287451" 0.53
"ENSG00000164877" "ENSG00000110435" -0.52
"ENSG00000244694" "ENSG00000125675" 0.51
"ENSG00000145428" "ENSG00000124615" -0.53
"ENSG00000164129" "ENSG00000167491" -0.51
"ENSG00000168487" "ENSG00000021762" 0.53
"ENSG00000175482" "ENSG00000141971" 0.54
"ENSG00000106524" "ENSG00000171105" -0.52
"ENSG00000172209" "ENSG00000180116" 0.53
"ENSG00000118873" "ENSG00000008277" 0.54
"ENSG00000146540" "ENSG00000133114" -0.52
"ENSG00000111790" "ENSG00000126215" -0.52
"ENSG00000164597" "ENSG00000153310" 0.54
"ENSG00000081307" "ENSG00000235609" 0.54
"ENSG00000137727" "ENSG00000104969" -0.53
"ENSG00000173166" "ENSG00000141568" -0.51
"ENSG00000136531" "ENSG00000198556" -0.52
"ENSG00000124570" "ENSG00000103653" 0.52
"ENSG00000150394" "ENSG00000177303" -0.54
"ENSG00000163743" "ENSG00000087470" 0.54
"ENSG00000204186" "ENSG00000104290" 0.54
"ENSG00000144320" "ENSG00000250910" 0.53
"ENSG00000196950" "ENSG00000090661" -0.52
"ENSG00000137818" "ENSG00000104825" 0.54
"ENSG00000247775" "ENSG00000267165" 0.52
"ENSG00000155428" "ENSG00000008277" -0.52
"ENSG00000139505" "ENSG00000268746" -0.53
"ENSG00000181638" "ENSG00000071564" 0.55
"ENSG00000054356" "ENSG00000112640" 0.53
"ENSG00000239779" "ENSG00000139597" -0.51
"ENSG00000108094" "ENSG00000072041" 0.52
"ENSG00000118454" "ENSG00000144357" 0.55
"ENSG00000143164" "ENSG00000182836" 0.54
"ENSG00000183775" "ENSG00000111728" 0.53
"ENSG00000146067" "ENSG00000057663" -0.53
"ENSG00000119844" "ENSG00000287451" 0.54
"ENSG00000104723" "ENSG00000137497" -0.53
"ENSG00000075790" "ENSG00000004897" 0.55
"ENSG00000143324" "ENSG00000147650" 0.54
"ENSG00000107643" "ENSG00000130283" -0.55
"ENSG00000146205" "ENSG00000110429" -0.52
"ENSG00000265818" "ENSG00000138138" 0.51
"ENSG00000236051" "ENSG00000103591" 0.53
"ENSG00000120251" "ENSG00000100083" -0.54
"ENSG00000285542" "ENSG00000178127" 0.53
"ENSG00000196776" "ENSG00000071564" -0.52
"ENSG00000114446" "ENSG00000122678" -0.52
"ENSG00000254692" "ENSG00000259081" 0.55
"ENSG00000133069" "ENSG00000129347" 0.52
"ENSG00000106052" "ENSG00000048540" 0.52
"ENSG00000174808" "ENSG00000091157" 0.53
"ENSG00000176087" "ENSG00000072133" -0.53
"ENSG00000157077" "ENSG00000008277" 0.54
"ENSG00000206199" "ENSG00000166716" -0.52
"ENSG00000186908" "ENSG00000133114" 0.54
"ENSG00000075303" "ENSG00000140368" -0.51
"ENSG00000077279" "ENSG00000172915" 0.54
"ENSG00000147650" "ENSG00000184716" -0.52
"ENSG00000106723" "ENSG00000158805" -0.52
"ENSG00000157191" "ENSG00000079805" 0.53
"ENSG00000138663" "ENSG00000285772" 0.53
"ENSG00000114120" "ENSG00000085274" 0.53
"ENSG00000162409" "ENSG00000004897" 0.53
