Node.1	Node.2	wTO
ENSG00000136531	ENSG00000132294	0.53
ENSG00000136531	ENSG00000124532	0.54
ENSG00000136531	ENSG00000270049	-0.51
ENSG00000136531	ENSG00000148688	0.54
ENSG00000136531	ENSG00000004897	0.54
ENSG00000136531	ENSG00000108176	0.53
ENSG00000136531	ENSG00000113645	-0.53
ENSG00000136531	ENSG00000119396	0.53
ENSG00000136531	ENSG00000008086	0.55
ENSG00000136531	ENSG00000119231	0.51
ENSG00000136531	ENSG00000184845	0.52
ENSG00000136531	ENSG00000158006	-0.52
ENSG00000136531	ENSG00000078246	-0.54
ENSG00000136531	ENSG00000198556	-0.52
ENSG00000136531	ENSG00000174405	0.52
ENSG00000136531	ENSG00000105976	0.52
ENSG00000136531	ENSG00000204271	0.54
ENSG00000136531	ENSG00000108590	0.54
ENSG00000136531	ENSG00000226026	0.53
ENSG00000136531	ENSG00000095383	-0.52
ENSG00000136531	ENSG00000213062	0.54
ENSG00000136531	ENSG00000104728	-0.53
ENSG00000136531	ENSG00000166272	-0.52
ENSG00000136531	ENSG00000214353	-0.53
ENSG00000136531	ENSG00000111707	0.55
ENSG00000136531	ENSG00000236333	0.53
ENSG00000136531	ENSG00000168994	-0.51
ENSG00000136531	ENSG00000144857	-0.51
ENSG00000136531	ENSG00000198331	0.51
ENSG00000136531	ENSG00000267281	-0.53
ENSG00000136531	ENSG00000132664	0.53
ENSG00000136531	ENSG00000154930	-0.53
ENSG00000136531	ENSG00000173821	-0.53
ENSG00000136531	ENSG00000099338	-0.54
ENSG00000136531	ENSG00000100802	-0.53
ENSG00000136531	ENSG00000197813	-0.52
ENSG00000136531	ENSG00000249709	-0.52
ENSG00000136531	ENSG00000243646	-0.53
ENSG00000136531	ENSG00000288605	-0.52
ENSG00000136531	ENSG00000183579	-0.51
ENSG00000136531	ENSG00000102678	0.53
ENSG00000136531	ENSG00000245275	-0.52
ENSG00000186106	ENSG00000108839	-0.53
ENSG00000186106	ENSG00000163376	0.54
ENSG00000186106	ENSG00000285651	-0.52
ENSG00000186106	ENSG00000287319	0.53
ENSG00000186106	ENSG00000106299	0.55
ENSG00000186106	ENSG00000163412	0.54
ENSG00000186106	ENSG00000104643	0.56
ENSG00000186106	ENSG00000075790	0.55
ENSG00000186106	ENSG00000133703	0.55
ENSG00000186106	ENSG00000152078	0.51
ENSG00000186106	ENSG00000183308	0.53
ENSG00000186106	ENSG00000123119	0.55
ENSG00000186106	ENSG00000231871	-0.52
ENSG00000186106	ENSG00000113966	0.55
ENSG00000186106	ENSG00000008869	0.53
ENSG00000186106	ENSG00000129691	0.51
ENSG00000186106	ENSG00000226849	-0.52
ENSG00000186106	ENSG00000224675	0.52
ENSG00000186106	ENSG00000117713	-0.51
ENSG00000186106	ENSG00000163281	0.54
ENSG00000186106	ENSG00000156642	0.55
ENSG00000186106	ENSG00000005249	0.53
ENSG00000186106	ENSG00000278311	0.52
ENSG00000186106	ENSG00000166006	0.53
ENSG00000186106	ENSG00000115944	0.52
ENSG00000186106	ENSG00000257923	-0.52
ENSG00000186106	ENSG00000106524	0.52
ENSG00000186106	ENSG00000205981	0.53
ENSG00000186106	ENSG00000048540	0.53
ENSG00000186106	ENSG00000168116	0.53
ENSG00000186106	ENSG00000100442	0.52
ENSG00000186106	ENSG00000166398	-0.52
ENSG00000186106	ENSG00000186815	-0.52
ENSG00000186106	ENSG00000174405	0.53
ENSG00000186106	ENSG00000111615	0.55
ENSG00000186106	ENSG00000060982	0.52
ENSG00000186106	ENSG00000108590	0.53
ENSG00000186106	ENSG00000260448	-0.52
ENSG00000186106	ENSG00000110900	-0.52
ENSG00000186106	ENSG00000265354	0.52
ENSG00000186106	ENSG00000285772	0.52
ENSG00000186106	ENSG00000106948	-0.52
ENSG00000186106	ENSG00000160191	-0.53
ENSG00000186106	ENSG00000196436	-0.51
ENSG00000186106	ENSG00000047578	-0.52
ENSG00000186106	ENSG00000180891	-0.51
ENSG00000186106	ENSG00000259736	-0.51
ENSG00000186106	ENSG00000196172	0.52
ENSG00000186106	ENSG00000133027	-0.51
ENSG00000164031	ENSG00000151292	0.53
ENSG00000164031	ENSG00000113161	0.54
ENSG00000164031	ENSG00000255082	0.53
ENSG00000164031	ENSG00000287319	0.52
ENSG00000164031	ENSG00000163412	0.54
ENSG00000164031	ENSG00000075790	0.55
ENSG00000164031	ENSG00000133703	0.55
ENSG00000164031	ENSG00000123119	0.55
ENSG00000164031	ENSG00000198380	0.52
ENSG00000164031	ENSG00000152749	0.54
ENSG00000164031	ENSG00000224675	0.53
ENSG00000164031	ENSG00000205269	0.53
ENSG00000164031	ENSG00000163281	0.55
ENSG00000164031	ENSG00000005249	0.53
ENSG00000164031	ENSG00000065609	0.52
ENSG00000164031	ENSG00000278311	0.53
ENSG00000164031	ENSG00000205482	-0.53
ENSG00000164031	ENSG00000100934	0.55
ENSG00000164031	ENSG00000102078	0.53
ENSG00000164031	ENSG00000185875	0.53
ENSG00000164031	ENSG00000205981	0.54
ENSG00000164031	ENSG00000048540	0.52
